tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
45,20210507,Kingsmen,blue,"('Paquito', 'Granger', 'Pharsa', 'Harith', 'Popol and Kupa')","('Benedetta', 'Baxia', 'Mathilda', 'Luo Yi', 'Lancelot')",0,ALMGHTY,red,"('Rafaela', 'Alice', 'Yi Sun-Shin', 'Kagura', 'Lapu-Lapu')","('Barats', 'Uranus', 'Jawhead', 'Yve', 'Diggie')",1,16:30,990,3,1,0,0,bracket
45,20210507,Kingsmen,red,"('Roger', 'Uranus', 'Pharsa', 'Roger', 'Khufra')","('Kagura', 'Alice', 'Mathilda', 'Benedetta', 'Yve')",1,ALMGHTY,blue,"('Popol and Kupa', 'Granger', 'Lunox', 'Chou', 'Minsitthar')","('Rafaela', 'Angela', 'Harith', 'Jawhead', 'Diggie')",0,14:46,886,3,2,0,1,bracket
45,20210507,Kingsmen,red,"('Esmeralda', 'Kagura', 'Lapu-Lapu', 'Roger', 'Popol and Kupa')","('Luo Yi', 'Pharsa', 'Mathilda', 'Benedetta', 'Yve')",1,ALMGHTY,blue,"('Cecilion', 'Lapu-Lapu', 'Alice', 'Jawhead', 'Khaleed')","('Paquito', 'Harith', 'Uranus', 'Estes', 'Diggie')",0,20:30,1230,3,3,1,1,bracket
45,20210507,EVOS Singapore,blue,"('Granger', 'Paquito', ""Chang'e"", 'Luo Yi', 'Baxia')","('Angela', 'Mathilda', 'Benedetta', 'Bruno', 'Yve')",1,Notorious Villains,red,"('Popol and Kupa', 'Harley', 'Claude', 'Estes', 'Barats')","('Selena', 'Pharsa', 'Yve', 'Jawhead', 'Chou')",0,15:42,942,3,1,0,0,bracket
45,20210507,EVOS Singapore,red,"('Pharsa', 'Jawhead', ""Chang'e"", 'Yi Sun-Shin', 'Lapu-Lapu')","('Angela', 'Mathilda', 'Hayabusa', 'Yve', 'Estes')",0,Notorious Villains,blue,"('Popol and Kupa', 'Roger', 'Kadita', 'Alice', 'Benedetta')","('Harith', 'Lunox', 'Paquito', 'Granger', 'Selena')",1,23:01,1381,3,2,1,0,bracket
45,20210507,EVOS Singapore,blue,"('Bruno', 'Chou', 'Pharsa', 'Benedetta', 'Rafaela')","('Estes', 'Mathilda', 'Jawhead', 'Lunox', 'Claude')",1,Notorious Villains,red,"('Popol and Kupa', 'Roger', ""Chang'e"", 'Kadita', 'Paquito')","('Lunox', 'Harith', 'Hayabusa', 'Yve', 'Granger')",0,13:09,789,3,3,1,1,bracket
45,20210508,Kingsmen,blue,"('Esmeralda', 'Kagura', 'Harith', 'Granger', 'Khufra')","('Jawhead', 'Benedetta', 'Pharsa', 'Luo Yi', 'Chou')",0,EVOS Singapore,red,"('Estes', ""Chang'e"", 'Bruno', 'Belerick', 'Paquito')","('Baxia', 'Angela', 'Mathilda', 'Popol and Kupa', 'Yve')",1,12:53,773,3,1,0,0,bracket
45,20210508,Kingsmen,red,"('Barats', 'Kagura', ""Chang'e"", 'Roger', 'Grock')","('Benedetta', 'Yve', 'Estes', 'Hayabusa', 'Lunox')",0,EVOS Singapore,blue,"('Luo Yi', 'Harith', 'Paquito', 'Jawhead', 'Granger')","('Rafaela', 'Angela', 'Mathilda', 'Pharsa', 'Popol and Kupa')",1,12:07,727,3,2,0,1,bracket
45,20210507,RSG Singapore,blue,"('Jawhead', 'Yi Sun-Shin', 'Barats', 'Rafaela', 'Bane')","('Benedetta', 'Angela', 'Granger', 'Bruno', 'Roger')",1,Forsaken,red,"('Popol and Kupa', 'Paquito', ""Chang'e"", 'Estes', 'Brody')","('Yve', 'Mathilda', 'Selena', 'Pharsa', 'Luo Yi')",0,18:49,1129,3,1,0,0,bracket
45,20210507,RSG Singapore,red,"('Paquito', 'Luo Yi', 'Esmeralda', 'Granger', 'Popol and Kupa')","('Baxia', 'Barats', 'Angela', ""Chang'e"", 'Benedetta')",1,Forsaken,blue,"('Estes', 'Mathilda', 'Alice', 'Lapu-Lapu', 'Roger')","('Rafaela', 'Pharsa', 'Yve', 'Jawhead', 'Selena')",0,11:24,684,3,2,1,0,bracket
45,20210508,ALMGHTY,red,"('Yu Zhong', 'Chou', 'Kagura', 'Roger', 'Baxia')","('Yve', 'Paquito', 'Mathilda', 'Barats', ""Chang'e"")",0,RSG Singapore,blue,"('Luo Yi', 'Granger', 'Lapu-Lapu', 'Jawhead', 'Benedetta')","('Alice', 'Yi Sun-Shin', 'Rafaela', 'Popol and Kupa', 'Selena')",1,12:30,750,3,1,0,0,bracket
45,20210508,ALMGHTY,red,"('Granger', 'Yve', 'Uranus', 'Lapu-Lapu', 'Estes')","('Benedetta', 'Jawhead', 'Paquito', 'Barats', 'Yu Zhong')",0,RSG Singapore,blue,"('Angela', 'Alice', 'Yi Sun-Shin', 'Mathilda', 'Khaleed')","('Baxia', ""Chang'e"", 'Rafaela', 'Popol and Kupa', 'Selena')",1,11:38,698,3,2,0,1,bracket
45,20210507,Impunity SG,blue,"('Zhask', 'Uranus', 'Kaja', 'Granger', 'Rafaela')","('Benedetta', 'Yve', 'Jawhead', 'Alice', 'Claude')",1,Explorer SG,red,"('Popol and Kupa', 'Lunox', 'Karrie', ""Chang'e"", 'Paquito')","('Faramis', 'Pharsa', 'Diggie', 'Mathilda', 'Selena')",0,11:32,692,3,1,0,0,bracket
45,20210507,Impunity SG,red,"('Brody', 'Uranus', ""Chang'e"", 'Pharsa', 'Rafaela')","('Benedetta', 'Yve', 'Mathilda', 'Alice', 'Yi Sun-Shin')",0,Explorer SG,blue,"('Popol and Kupa', 'Harith', 'Claude', 'Lapu-Lapu', 'Luo Yi')","('Kaja', 'Bruno', 'Diggie', 'Granger', 'Selena')",1,29:01,1741,3,2,1,0,bracket
45,20210507,Impunity SG,blue,"('Barats', 'Faramis', 'Mathilda', 'Yi Sun-Shin', 'Rafaela')","('Benedetta', 'Yve', 'Harith', 'Alice', 'Paquito')",0,Explorer SG,red,"('Popol and Kupa', 'Yu Zhong', 'Granger', ""Chang'e"", 'Luo Yi')","('Claude', 'Bruno', 'Uranus', 'Diggie', 'Selena')",1,13:54,834,3,3,1,1,bracket
45,20210508,Notorious Villains,blue,"('Paquito', 'Hayabusa', 'Lapu-Lapu', 'Yve', 'Rafaela')","('Selena', 'Mathilda', 'Granger', 'Claude', 'Roger')",1,Explorer SG,red,"('Popol and Kupa', 'Lapu-Lapu', 'Karrie', 'Yu Zhong', ""Chang'e"")","('Chou', 'Diggie', 'Benedetta', 'Estes', 'Alice')",0,29:25,1765,3,1,0,0,bracket
45,20210508,Notorious Villains,blue,"('Paquito', 'Bruno', 'Pharsa', 'Harith', 'Popol and Kupa')","('Selena', 'Mathilda', 'Yi Sun-Shin', 'Luo Yi', 'Angela')",1,Explorer SG,red,"('Jawhead', 'Lunox', 'Lapu-Lapu', 'Claude', 'Alice')","('Hayabusa', 'Chou', 'Granger', 'Benedetta', 'Yve')",0,15:31,931,3,2,1,0,bracket
45,20210508,RSG Singapore,red,"('Lapu-Lapu', 'Brody', 'Zhask', 'Popol and Kupa', 'Rafaela')","(""Chang'e"", 'Benedetta', 'Granger', 'Diggie', 'Claude')",1,Notorious Villains,blue,"('Ruby', 'Alice', 'Pharsa', 'Roger', 'Paquito')","('Estes', 'Angela', 'Selena', 'Yve', 'Lapu-Lapu')",0,14:48,888,3,1,0,0,bracket
45,20210508,RSG Singapore,blue,"('Paquito', 'Rafaela', ""Chang'e"", 'Karrie', 'Jawhead')","(""Chang'e"", 'Benedetta', 'Granger', 'Diggie', 'Claude')",1,Notorious Villains,red,"('Baxia', 'Alice', 'Bruno', 'Barats', 'Yve')","('Estes', 'Angela', 'Selena', 'Yve', 'Lapu-Lapu')",0,13:54,834,3,2,1,0,bracket
