tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
84,20230903,Bigetron Era,blue,"('Uranus', 'Lancelot', 'Kadita', 'Beatrix', 'Edith')","('Yve', 'Terizla', 'Kaja', 'Novaria', 'Faramis')",1,Pssychology,red,"('Floryn', 'Hanabi', 'Valir', 'Baxia', 'X.Borg')","('Fanny', 'Irithel', 'Xavier', 'Atlas', 'Ling')",0,08:56,536,3,1,0,0,bracket
84,20230903,Bigetron Era,blue,"('Paquito', 'Ling', 'Angela', 'Kimmy', 'Grock')","('Kaja', 'Terizla', 'Faramis', 'Brody', 'Baxia')",1,Pssychology,red,"('Lolita', 'Hanabi', 'Kagura', 'Martis', 'Esmeralda')","('Irithel', 'Novaria', 'Uranus', 'Kadita', 'Beatrix')",0,09:54,594,3,2,1,0,bracket
84,20230903,Cosmo Enzi,red,"('Terizla', 'Martis', 'Xavier', 'Bruno', 'Diggie')","('Joy', 'Valentina', 'Floryn', 'Wanwan', 'Yu Zhong')",0,RRQ Mika,blue,"('Kaja', 'Beatrix', 'Pharsa', 'Fredrinn', 'Lapu-Lapu')","('Lunox', 'Novaria', 'Kadita', 'Faramis', 'Yve')",1,13:53,833,3,1,0,0,bracket
84,20230903,Cosmo Enzi,red,"('Lapu-Lapu', 'Baxia', 'Novaria', 'Natan', 'Kaja')","('Valentina', 'Joy', 'Fredrinn', 'Wanwan', 'Uranus')",0,RRQ Mika,blue,"('Edith', 'Irithel', 'Pharsa', 'Martis', 'Yu Zhong')","('Terizla', 'Brody', 'Faramis', 'Kadita', 'Yve')",1,10:22,622,3,2,0,1,bracket
84,20230903,Dewa United Eve,red,"('Paquito', 'Akai', 'Pharsa', 'Beatrix', 'Diggie')","('Yve', 'Valentina', 'Fredrinn', 'Hanzo', 'Fanny')",0,MBR Delphyne,blue,"('Khufra', 'Claude', 'Kadita', 'Hayabusa', 'Edith')","('Brody', 'Bruno', 'Terizla', 'Angela', 'Martis')",1,13:54,834,3,1,0,0,bracket
84,20230903,Dewa United Eve,blue,"('Terizla', 'Benedetta', 'Valentina', 'Bruno', 'Grock')","('Kadita', 'Edith', 'Fanny', 'Claude', 'Hayabusa')",0,MBR Delphyne,red,"('Khufra', 'Brody', 'Pharsa', 'Fredrinn', 'Paquito')","('Floryn', 'Minotaur', 'Diggie', 'Angela', 'Martis')",1,16:12,972,3,2,0,1,bracket
84,20230903,Madura Prime,red,"('Benedetta', 'Fredrinn', 'Valentina', 'Karrie', 'Angela')","('Ling', 'Yve', 'Joy', 'Lylia', 'Floryn')",1,White Eagles Ladies,blue,"('Edith', 'Bruno', 'Cecilion', 'Martis', 'Uranus')","('Terizla', 'Franco', 'Diggie', 'Novaria', 'Kadita')",0,23:17,1397,3,1,0,0,bracket
84,20230903,Madura Prime,blue,"('Uranus', 'Lancelot', 'Valentina', 'Beatrix', 'Akai')","('Ling', 'Edith', 'Yve', 'Floryn', 'Angela')",1,White Eagles Ladies,red,"('Diggie', 'Irithel', 'Lylia', 'Baxia', 'X.Borg')","('Franco', 'Terizla', 'Joy', 'Benedetta', 'Kadita')",0,13:40,820,3,2,1,0,bracket
84,20230903,MBR Delphyne,blue,"('Terizla', 'Hanzo', 'Valentina', 'Beatrix', 'Kaja')","('Martis', 'Benedetta', 'Uranus', 'Diggie', 'Angela')",1,Madura Prime,red,"('Minotaur', 'Bruno', 'Yve', 'Baxia', 'Masha')","('Paquito', 'Brody', 'Edith', 'Ling', 'Fanny')",0,15:27,927,3,1,0,0,bracket
84,20230903,MBR Delphyne,red,"('Paquito', 'Hanzo', 'Yve', 'Brody', 'Kaja')","('Martis', 'Benedetta', 'Edith', 'Uranus', 'Terizla')",1,Madura Prime,blue,"('Diggie', 'Bruno', 'Cecilion', 'Baxia', 'Esmeralda')","('Melissa', 'Beatrix', 'Ling', 'Valentina', 'Fanny')",0,15:48,948,3,2,1,0,bracket
84,20230903,White Eagles Ladies,blue,"('Yu Zhong', 'Bruno', 'Lylia', 'Brody', 'Lolita')","('Valentina', 'Kadita', 'Claude', 'Atlas', 'Khufra')",0,Bigetron Era,red,"('Franco', 'Beatrix', 'Novaria', 'Paquito', 'Terizla')","('Diggie', 'Kaja', 'Uranus', 'Yve')",1,09:58,598,3,1,0,0,bracket
84,20230903,White Eagles Ladies,blue,"('Uranus', 'Helcurt', 'Lunox', 'Bruno', 'Minotaur')","('Valentina', 'Claude', 'Novaria', 'Terizla', 'Lolita')",0,Bigetron Era,red,"('Franco', 'Brody', 'Kadita', 'Paquito', 'Yu Zhong')","('Baxia', 'Khufra', 'Diggie', 'Kaja', 'Yve')",1,08:53,533,3,2,0,1,bracket
84,20230904,RRQ Mika,blue,"('Yu Zhong', 'Fredrinn', 'Novaria', 'Beatrix', 'Kaja')","('Yve', 'Faramis', 'Ling', 'Martis', 'Grock')",1,Dewa United Eve,red,"('Khufra', 'Bruno', 'Pharsa', 'Hayabusa', 'Terizla')","('Brody', 'Claude', 'Valentina', 'Edith', 'Kadita')",0,23:01,1381,3,1,0,0,bracket
84,20230904,RRQ Mika,blue,"('Gloo', 'Akai', 'Valentina', 'Claude', 'Edith')","('Yve', 'Ling', 'Faramis', 'Terizla', 'Khufra')",1,Dewa United Eve,red,"('Diggie', 'Brody', 'Pharsa', 'Hayabusa', 'Fredrinn')","('Yu Zhong', 'X.Borg', 'Martis', 'Beatrix', 'Kadita')",0,13:33,813,3,2,1,0,bracket
84,20230904,Pssychology,red,"('Uranus', 'Fanny', 'Lunox', 'Bruno', 'Khufra')","('Kadita', 'Claude', 'Terizla', 'Irithel', 'Karrie')",0,Cosmo Enzi,blue,"('Floryn', 'Beatrix', 'Pharsa', 'Fredrinn', 'Paquito')","('Minotaur', 'Valentina', 'Hanabi', 'Angela', 'Yve')",1,13:46,826,3,1,0,0,bracket
84,20230904,Pssychology,blue,"('Uranus', 'Kagura', 'Pharsa', 'Melissa', 'Khufra')","('Floryn', 'Kadita', 'Claude', 'Kaja', 'Valentina')",0,Cosmo Enzi,red,"('Minotaur', 'Karrie', 'Novaria', 'Martis', 'X.Borg')","('Irithel', 'Beatrix', 'Yve', 'Hanabi', 'Angela')",1,14:21,861,3,2,0,1,bracket
84,20230904,Madura Prime,blue,"('Edith', 'Baxia', 'Angela', 'Clint', 'Valir')","('Kadita', 'Joy', 'X.Borg', 'Gloo', 'Franco')",0,RRQ Mika,red,"('Lolita', 'Beatrix', 'Pharsa', 'Fredrinn', 'Lapu-Lapu')","('Claude', 'Irithel', 'Valentina', 'Floryn', 'Yve')",1,38:00,2280,3,1,0,0,bracket
84,20230904,Madura Prime,red,"('Terizla', 'Baxia', 'Faramis', 'Beatrix', 'Edith')","('Joy', 'X.Borg', 'Fredrinn', 'Akai', 'Karrie')",1,RRQ Mika,blue,"('Kaja', 'Irithel', 'Valentina', 'Alpha', 'Paquito')","('Bruno', 'Pharsa', 'Yve', 'Angela', 'Floryn')",0,24:22,1462,3,2,0,1,bracket
